tone,condition,message
Positive,satisfaction > 0.7 && conciseResponses == true,"Short, sweet, and to the point. Couldn't ask for more!"
Neutral,satisfaction > 0.4 && satisfaction <= 0.7 && friendlyTone == false,"I got what I needed, but it felt a bit robotic."
Neutral,satisfaction > 0.4 && satisfaction <= 0.7 && responseLength >= 150,"It gave me all the info I needed, but maybe a little more than necessary."
Neutral,satisfaction > 0.4 && satisfaction <= 0.7 && conciseResponses == true,"It answered my question, but I wouldn’t call it exciting."
Negative,satisfaction <= 0.4 && friendlyTone == false,"It felt like chatting with a brick wall—no warmth at all!"
Negative,satisfaction <= 0.4 && responseLength > 200,"The response was long and dull. It felt more like homework."
Negative,satisfaction <= 0.4 && conciseResponses == false,"It just kept going on and on... I lost interest halfway through."
Negative,satisfaction <= 0.4,"It didn't help at all. I’m just as confused as before."
Neutral,satisfaction > 0.4 && satisfaction <= 0.7,"The chatbot did the job, but it didn’t blow my mind."
Positive,satisfaction > 0.7,"The chatbot was amazing—10/10 would ask again!"
Negative,satisfaction <= 0.4 && budgetExhausted == true,"The chatbot stopped working and left me hanging!"
Neutral,satisfaction > 0.4 && responseLength >= 150,"It got the job done, but it sure took its time!"
Positive,satisfaction > 0.7 && detailedExplanations == true,"I feel like an expert now! Thanks for all the info."
Negative,satisfaction <= 0.4 && detailedExplanations == false && responseLength >= 100,"Not enough info and the chatbot seemed uninterested."
Positive,satisfaction > 0.7,"The chatbot was amazing—10/10 would ask again!"
Neutral,satisfaction > 0.4 && satisfaction <= 0.7,"It got the job done, but it wasn’t anything special."
Negative,satisfaction <= 0.4,"It didn’t help at all. I’m just as confused as before."
Negative,satisfaction <= 0.4 && budgetExhausted == true,"The chatbot stopped working and left me hanging!"
Positive,satisfaction > 0.7,"That was quick and easy—exactly what I needed!"
Neutral,satisfaction > 0.4 && satisfaction <= 0.7,"It was fine, but nothing to write home about."
Negative,satisfaction <= 0.4,"I’m not sure if the chatbot understood me... because I didn’t get any answers."
